SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
24	1110	4860	4632
25	1110	4910	4658
26	1110	5328	5003
27	1110	5162	4917
28	1110	7516	7115
29	1110	5317	4929
30	1110	6318	5975
31	1110	5048	4799
32	1110	5373	5129
33	1110	5527	5292
34	1110	5494	5218
35	1110	5863	5605
36	1110	6461	6158
37	1110	5843	5573
38	1110	4548	4309
39	1110	5722	5428
40	1110	5203	4641
41	1110	5504	5221
42	1110	4066	3837
43	1110	4303	4099
44	1110	45	39
45	1110	6118	5830
46	1110	4994	4738
47	1110	4985	4760
48	1110	4681	4472
49	1110	4917	4656
50	1110	4119	3886
51	1110	5361	5109
